Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
510	:	1743673707.863	     0.160	0	3729	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.8-17-True.cnf
466	:	1743673704.766	     3.345	0	10127	20	0	./cadical/cadical data/71681-5-100-0.6-13-True.cnf
391	:	1743673697.724	    10.420	0	13251	20	0	./cadical/cadical data/43018-5-100-0.6-13-True.cnf
513	:	1743673708.151	     0.161	0	3835	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.7-15-True.cnf
467	:	1743673704.773	     3.550	0	14056	10	0	./cadical/cadical data/71681-5-100-0.6-14-True.cnf
515	:	1743673708.332	     0.098	0	3910	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.7-17-True.cnf
514	:	1743673708.319	     0.161	0	3876	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.7-16-True.cnf
426	:	1743673700.474	     8.074	0	13322	20	0	./cadical/cadical data/78144-5-100-0.9-13-True.cnf
518	:	1743673708.554	     0.160	0	4261	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.6-15-True.cnf
271	:	1743673695.816	    12.928	0	14103	20	0	./cadical/cadical data/53188-5-100-0.5-13-True.cnf
321	:	1743673696.061	    12.685	0	13344	20	0	./cadical/cadical data/42462-5-100-0.5-13-True.cnf
520	:	1743673708.754	     0.085	0	4344	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.6-17-True.cnf
519	:	1743673708.722	     0.128	0	4305	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.6-16-True.cnf
512	:	1743673708.119	     0.886	0	3794	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.7-14-True.cnf
523	:	1743673708.858	     0.154	0	4451	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.5-15-True.cnf
367	:	1743673697.198	    11.868	0	16445	10	0	./cadical/cadical data/50408-5-100-0.6-14-True.cnf
509	:	1743673707.854	     1.213	0	3694	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.8-16-True.cnf
522	:	1743673708.847	     0.238	0	4407	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.5-14-True.cnf
524	:	1743673709.012	     0.097	0	4500	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.5-16-True.cnf
525	:	1743673709.021	     0.097	0	4552	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.5-17-True.cnf
517	:	1743673708.487	     0.643	0	4217	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.6-14-True.cnf
361	:	1743673696.923	    12.301	0	14218	20	0	./cadical/cadical data/50408-5-100-0.7-13-True.cnf
530	:	1743673709.126	     0.121	0	3571	10	0	./kissat-sc2024/bin/kissat data/22710-5-100-0.9-17-True.cnf
431	:	1743673701.364	     7.914	0	11982	20	0	./cadical/cadical data/78144-5-100-0.8-13-True.cnf
441	:	1743673702.379	     6.913	0	11852	20	0	./cadical/cadical data/78144-5-100-0.6-13-True.cnf
535	:	1743673709.308	     0.073	0	3750	10	0	./kissat-sc2024/bin/kissat data/22710-5-100-0.8-17-True.cnf
534	:	1743673709.291	     0.101	0	3711	10	0	./kissat-sc2024/bin/kissat data/22710-5-100-0.8-16-True.cnf
533	:	1743673709.256	     0.190	0	3673	10	0	./kissat-sc2024/bin/kissat data/22710-5-100-0.8-15-True.cnf
